"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3000000","CDFI2260032015000004","20150930","","01","영업/정상","13","영업중","","","","","02-6388-5000","","","서울특별시 종로구 당주동 29","서울특별시 종로구 새문안로 97 (당주동)","03183","포시즌스 호텔 서울","20210323101657","U","2020-12-02 22:05:00.0","","197764","452030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI2260031990000001","19900116","","01","영업/정상","13","영업중","","","","","02-798-5101","","140150","서울특별시 용산구 갈월동 98-11번지 ","서울특별시 용산구 한강대로 253 (갈월동)","","가야라트리호텔","20181015101716","U","2018-10-15 23:59:59.0","","197492.793337805    ","448731.316989981    ","관광숙박업","관광사업","일반상업지역","7","","","","호텔","6","1","51","","","","","","","","","","","2716.52","","","","","","","","","","","","","2717","관광호텔업"
"3020000","CDFI2260031988000001","19880928","","01","영업/정상","13","영업중","","","","","02-3702-8000","","140893","서울특별시 용산구 한남동 737-32번지 ","서울특별시 용산구 이태원로 221 (한남동)","","임피리얼팰리스 부티크호텔(Imperial Palace Boutique Hotel)","20180730155719","I","2018-08-31 23:59:59.0","","199788.755748324    ","448121.175798434    ","관광숙박업","관광사업","준주거지역","15","기타","","","호텔","11","4","128","10654","","","","","","","","","","715.24","","","","","","","","","","","","","715","관광호텔업"
"3020000","CDFI2260031980000001","19800520","","01","영업/정상","13","영업중","","","","","02-797-4111","","140863","'서울특별시 용산구 이태원동 34-69번지 36-69 34-159 44-64 '","서울특별시 용산구 녹사평대로 140 (이태원동)","04390","크라운관광호텔","20181210112119","U","2018-12-12 02:40:00.0","","199118.176847228    ","447688.4883026      ","관광숙박업","관광사업","일반주거지역","8","","","","호텔","7","1","203","13634","CROWN TOURIST HOTEL","Tourist Hotel","","","","","","","","2452.17","","","","","","","","","","","","","2452","관광호텔업"
"3180000","CDFI2260032001000004","20010213","","03","폐업","03","폐업","","","","","2197-7000","","150872","서울특별시 영등포구 여의도동 15-13번지 ","서울특별시 영등포구 국회대로68길 24  (여의도동)","","호텔 엔티마","20090413104355","I","2018-08-31 23:59:59.0","","192866.856097244    ","447341.334688661    ","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","0",""
"3230000","CDFI2260032016000002","20161223","","01","영업/정상","13","영업중","","","","","02-414-1263","","","서울특별시 송파구 방이동 36-5번지 ","'서울특별시 송파구 오금로11길 21-9 (방이동 대신파크)'","05543","주식회사 딜라이트 호텔","20200214163550","U","2020-02-16 02:40:00.0","","209595.213143028    ","445912.216884712    ","관광숙박업","","","11","","","","","10","1","71","2349","","","","","","","","","","2349","","","","","","","","","8700000000","","","","2349","관광호텔업"
"3030000","CDFI2260032016000001","20161209","","03","폐업","03","폐업","20210831","","","","02-2246-3909","","","서울특별시 성동구 용답동 68-2","서울특별시 성동구 천호대로 302 (용답동)","04804","호텔 이노스테이","20210909161240","U","2020-12-08 23:01:00.0","","204679.563699077","451488.295399038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032003000004","20030626","","03","폐업","03","폐업","20200812","","","","542-0112","","","서울특별시 강남구 논현동 56-21","서울특별시 강남구 학동로 141 (논현동 호텔G)","06045","호텔 G","20200812130909","U","2019-12-07 23:04:00.0","","202253.771265692","445646.871803817","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI2260032016000002","20161227","","02","휴업","02","휴업","","20210101","20211231","","070-8837-3650","","","서울특별시 용산구 동자동 43-59","서울특별시 용산구 한강대로 385 3~4층 (동자동)","04320","케이 그랜드 호텔 서울(K-Grand Hotel Seoul)","20210108090409","U","2020-11-30 23:00:00.0","","197478.685653861","450063.434682284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260031963000001","19630623","","01","영업/정상","13","영업중","","","","","776-1811","","100011","서울특별시 중구 충무로1가 23-1","서울특별시 중구 명동8나길 10 (충무로1가)","","사보이호텔","20210128114650","U","2020-11-30 21:00:00.0","","198543.644700379","451049.580620366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI2260031975000001","19750729","","01","영업/정상","13","영업중","","","","","02-3786-6000","","140863","'서울특별시 용산구 이태원동 119-24번지 119-2425108-9123-10~15116-1116-5112-7112-15 '","서울특별시 용산구 이태원로 179 (이태원동)","04350","해밀톤관광호텔","20181026164858","U","2018-10-28 02:36:21.0","","199362.51518342     ","448070.485388482    ","관광숙박업","관광사업","일반상업지역","13","유흥업소밀집지역","","","호텔","9","4","166","16664","HAMILTON TOURIST HOTEL","Tourist Hotel","","","","","","","","26681.93","","","","","","","","","","","","","26682","관광호텔업"
"3030000","CDFI2260032005000002","20050429","","03","폐업","03","폐업","20200428","","","","02-2296-2244","","","서울특별시 성동구 도선동 2번지 비전호텔 ","'서울특별시 성동구 고산자로 277 (도선동 비전호텔)'","04709","비젼관광호텔","20200428140039","U","2020-04-30 02:40:00.0","","203103.639156263    ","451353.145288746    ","관광숙박업","관광사업","일반상업지역","9","기타","","","숙박시설","8","1","64","","","","","","","","","","","2499.06","","","","","","","","","650000000","","","","2499","관광호텔업"
"3030000","CDFI2260032005000001","20050429","","03","폐업","03","폐업","20090415","","","","'2295-93652292-0055'","","133882","서울특별시 성동구 도선동 58-0번지 ","","","전풍관광호텔","20090417154842","I","2018-08-31 23:59:59.0","","","","관광숙박업","관광사업","일반상업지역","7","주택가주변","","","호텔","6","1","","","","","","","","","","","","2303","","","","","","","","","","","","","2303",""
"3030000","CDFI2260032017000001","20170307","","01","영업/정상","13","영업중","","","","","0222983650","","","서울특별시 성동구 하왕십리동 966-68번지 ","'서울특별시 성동구 왕십리로 339-1 6~10층 (하왕십리동)'","04710","케이그랜드 호스텔(K-Grand Hostel)","20200102174053","U","2020-01-04 02:40:00.0","","202756.732460612    ","451193.426474206    ","관광숙박업","","","5","","","","","","","22","","","","","","","","","","","640.3","","","","","","","","","200000000","","","","640","호스텔업"
"3020000","CDFI2260032015000001","20150424","","01","영업/정상","13","영업중","","","","","02-6070-7000","","140821","서울특별시 용산구 동자동 56","서울특별시 용산구 한강대로 366 (동자동)","04323","(주)조선호텔앤리조트 포포인츠 조선 서울역","20210422152747","U","2020-12-03 22:04:00.0","","197525.407310462","449844.319841559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032018000001","20180201","","01","영업/정상","13","영업중","","","","","02  22855401","","","서울특별시 중구 쌍림동 155-1 호텔더디자이너스디디피","서울특별시 중구 퇴계로 293 호텔더디자이너스디디피 (쌍림동)","04560","호텔더디자이너스 디디피","20210426115813","U","2020-12-03 22:08:00.0","","200292.658269708","451281.027011703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3050000","CDFI2260032016000001","20160310","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 신설동 98-24","서울특별시 동대문구 왕산로 22 (신설동)","02582","맹그로브 신설","20211028142603","U","2020-10-30 21:00:00.0","","202233.604900045","452654.5266264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3030000","CDFI2260032008000001","20080909","","01","영업/정상","13","영업중","","","","","02-2292-7634","","","'서울특별시 성동구 도선동 72번지 외 2필지(73 74번지) '","'서울특별시 성동구 왕십리로20길 19 (도선동 아모렉스 관광호텔)'","04709","아모렉스 관광호텔","20190425172939","U","2019-04-27 02:40:00.0","","203048.430959167    ","451270.852834842    ","관광숙박업","관광사업","상업지역","12","","","","호텔","10","2","56","","AMOUREX TOURIST HOTEL","TOURIST HOTEL","","","","","","","","3928.47","","","","","","","","","2000000000","","","","3928","관광호텔업"
