"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모"
"3130000","CDFI2262212012000025","20120509","","03","폐업","03","폐업","20191031","","","","","","","서울특별시 마포구 연남동 566-4번지 ","서울특별시 마포구 동교로27길 60-5 (연남동)","03990","오블루","20191119152125","U","2019-11-21 02:40:00.0","","192967.871953335    ","450932.479806591    ","외국인관광 도시민박업","","","","","","7실(20명)","단독주택","","","7","","OH BLUE","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","152.7","","","","","","","","","","","","","153"
"3130000","CDFI2262212015000070","20150417","","03","폐업","03","폐업","20170524","","","","","","121868","서울특별시 마포구 연남동 487-375번지 B1~1층 ","'서울특별시 마포구 성미산로16길 3-3 B1~1층 (연남동)'","03986","인 게스트하우스2","20170524181655","I","2018-08-31 23:59:59.0","","192700.403442862    ","450981.64113858     ","외국인관광 도시민박업","","","2","","","6실(20명)","","2","","","","IN Guesthouse","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","146.28","","","","","","","","","","","","","146"
"3130000","CDFI2262212018000035","20180511","","03","폐업","03","폐업","20191231","","","","","","","서울특별시 마포구 창전동 2-75번지 ","서울특별시 마포구 서강로13길 31-8 (창전동)","04061","온유","20200130180824","U","2020-02-01 02:40:00.0","","193919.902626265    ","450231.333447905    ","외국인관광 도시민박업","","","","","","2실(3명)","","","","2","","On U","URBAN HOMESTAY FOR FOREIGN TOURISTS","","","","","","","","51.47","","","","","","","","","","","","","51"
"3130000","CDFI2262212016000082","20161206","","03","폐업","03","폐업","20191210","","","","","","","서울특별시 마포구 도화동 38-9번지 301호","'서울특별시 마포구 새창로6길 10 301호 (도화동 주하빌라)'","04169","Jack's House","20191231141733","U","2020-01-02 02:40:00.0","","195755.598085593    ","448809.928419225    ","외국인관광 도시민박업","","","","","","1실(2명)","","","","1","54","Jack's House","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","54.2","","","","","","","","","","","","","54"
"3130000","CDFI2262212016000080","20161202","","03","폐업","03","폐업","20190902","","","","","","","서울특별시 마포구 동교동 204-19번지 일층 1호","'서울특별시 마포구 동교로27길 21-6 1층 1호 (동교동)'","03993","Chaeny's home","20190920160247","U","2019-09-22 02:40:00.0","","193044.530704008    ","450752.232297538    ","외국인관광 도시민박업","","","","","","1실(2명)","","","","1","32","Chaeny's home","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","31.5","","","","","","","","","","","","","32"
"3130000","CDFI2262212018000045","20180703","","03","폐업","03","폐업","20190903","","","","","","","서울특별시 마포구 합정동 372-41번지 ","서울특별시 마포구 성지1길 10-20 (합정동)","04071","트윈스 게스트하우스 2호점","20190903173935","U","2019-09-05 02:40:00.0","","192337.41249185     ","449475.054758918    ","외국인관광 도시민박업","","","","","","2실(8명)","","","","2","","Twins Guesthouse 2","URBAN HOMESTAY FOR FOREIGN TOURISTS","","","","","","","","70.28","","","","","","","","","","","","","70"
"3130000","CDFI2262212013000024","20130426","","03","폐업","03","폐업","20191210","","","","","","121895","'서울특별시 마포구 서교동 403-14번지 56층 '","'서울특별시 마포구 어울마당로 49 56층 (서교동)'","04048","유게스트하우스","20191210180645","U","2019-12-12 02:40:00.0","","192918.587605581    ","449703.597558014    ","외국인관광 도시민박업","","","5","","","11실(35명)","단독주택","5","","11","","U","URBAN HOMESTAY FOR FOREIGN TOURISTS","","","","","","","","178","","","","","","","","","","","","","178"
"3130000","CDFI2262212017000042","20170525","","03","폐업","03","폐업","20190124","","","","","","","서울특별시 마포구 서교동 404-10번지 ","'서울특별시 마포구 독막로9길 37-4 12층 (서교동)'","04048","킹콩게스트하우스","20190124162540","U","2019-01-26 02:40:00.0","","192893.258249902    ","449758.820989198    ","외국인관광 도시민박업","","","","","","4실(14명)","단독주택","","","4","","King Kong Guest House","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","135.54","","","","","","","","","","","","","136"
"3130000","CDFI2262212015000067","20150428","","03","폐업","03","폐업","20170701","","","","","","121842","서울특별시 마포구 서교동 464-50번지 1~2 ","'서울특별시 마포구 동교로 136-6 1~2층 (서교동)'","04030","티아라게스트하우스","20170704175039","I","2018-08-31 23:59:59.0","","192628.123672863    ","450294.071898115    ","외국인관광 도시민박업","","","2","","","5실(19명)","","2","","","","Tiara guest house","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","157.93","","","","","","","","","","","","","158"
"3130000","CDFI2262212016000076","20161124","","03","폐업","03","폐업","20190910","","","","","","","서울특별시 마포구 동교동 200-2번지 2동 308호","'서울특별시 마포구 월드컵북로4길 56 2동 308호 (동교동 기린동산빌라)'","03993","퀘스트하우스2","20190911114902","U","2019-09-13 02:40:00.0","","193062.405063415    ","450667.660028393    ","외국인관광 도시민박업","","","","","","1실(6명)","","","","1","","Quest House2","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","52.92","","","","","","","","","","","","","53"
"3130000","CDFI2262212016000003","20160203","","03","폐업","03","폐업","20161129","","","","","","","서울특별시 마포구 서교동 396-60번지 401호","'서울특별시 마포구 독막로3길 28-10 401호 (서교동 동궁빌리지)'","","벧엘게스트하우스(Bethel guesthouse)","20161129134822","I","2018-08-31 23:59:59.0","","192649.648253503    ","449676.225912023    ","외국인관광 도시민박업","","","","","","2개(6명)","","","","","","Bethel guesthouse","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","67.72","","","","","","","","","","","","","68"
"3130000","CDFI2262212017000017","20170308","","03","폐업","03","폐업","20190218","","","","","","","서울특별시 마포구 연남동 382-1번지 ","'서울특별시 마포구 동교로38길 28 2층 (연남동)'","03982","Gina House","20190313175244","U","2019-03-15 02:40:00.0","","193342.490903059    ","451043.516688883    ","외국인관광 도시민박업","","","","","","2실(5명)","다가구용 주택(공동주택적용)","","","2","","Gina House","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","54.85","","","","","","","","","","","","","55"
"3130000","CDFI2262212017000013","20170215","","03","폐업","03","폐업","20190801","","","","","","","서울특별시 마포구 서교동 337-24번지 ","'서울특별시 마포구 와우산로29가길 25 201호 (서교동)'","04053","Chuck haus","20200204131147","U","2020-02-06 02:40:00.0","","193580.066093727    ","450195.705083606    ","외국인관광 도시민박업","","","","","","2실(6명)","","","","2","","Chuck haus","Mayor of MAPO-GU","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212017000011","20170208","","03","폐업","03","폐업","20180222","","","","","","","서울특별시 마포구 노고산동 54-56번지 ","'서울특별시 마포구 신촌로12길 25 1층 (노고산동)'","04057","더 문 하우스","20180222090612","I","2018-08-31 23:59:59.0","","193985.62753245     ","450336.543118401    ","외국인관광 도시민박업","","","","","","2실(4명)","단독주택","","","2","","The Moon House","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","57.42","","","","","","","","","","","","","57"
"3220000","CDFI2262212018000014","20181113","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 신사동 518-18번지 ","'서울특별시 강남구 강남대로158길 34-2 301호 (신사동)'","06034","호인하우스","20181113200513","I","2018-11-15 02:35:50.0","","201835.506010686    ","446356.693731706    ","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212015000066","20150430","","03","폐업","03","폐업","20170324","","","","","","121836","서울특별시 마포구 서교동 326-27번지 ","서울특별시 마포구 와우산로35길 9-8 (서교동)","04052","레오 게스트하우스 홍대입구역 2","20170324174228","I","2018-08-31 23:59:59.0","","193720.466155116    ","450377.578211353    ","외국인관광 도시민박업","","일반주거지역","3","","","4실(12명)","","3","","","","LEO Guesthouse 2","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","111.11","","","","","","","","","","","","","111"
"3130000","CDFI2262212015000065","20150430","","03","폐업","03","폐업","20170814","","","","","","121884","서울특별시 마포구 합정동 361-40번지 1층 ","'서울특별시 마포구 독막로4길 15 1층 (합정동)'","04072","Sunny's house","20170817174421","I","2018-08-31 23:59:59.0","","192583.4261168      ","449468.892489319    ","외국인관광 도시민박업","","","1","","","3실(12명)","","1","","","","Sunny's house","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","82.28","","","","","","","","","","","","","82"
"3130000","CDFI2262212015000064","20150506","","03","폐업","03","폐업","20190415","","","","","","121867","서울특별시 마포구 연남동 390-53번지 2층 ","'서울특별시 마포구 동교로38길 26-16 2층 (연남동)'","03982","Sunny's East house","20190416100040","U","2019-04-18 02:40:00.0","","193313.264490934    ","451039.522692324    ","외국인관광 도시민박업","","일반주거지역","1","","","2실(5명)","","2","","","","Sunny's East house","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","74.8","","","","","","","","","","","","","75"
